Empresa;C�digo;�ndices dos quais participa
CSNMINERACAO;CMIN3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX
CSU DIGITAL;CSUD3;IGCX,IGNM,ITAG
CURY S/A;CURY3;IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
CVC BRASIL;CVCB3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
CYRELA REALT;CYRE3;IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,IVBX,SMLL
D1000VFARMA;DMVF3;IGCX,IGNM,ITAG
DANAHER CORP;DHER34;BDRX
DASA;DASA3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
DEERE CO;DEEC34;BDRX
DELL TECHNOL;D1EL34;BDRX
DESKTOP;DESK3;IGCX,IGNM,ITAG
DEXCO;DXCO3;AGFS,IBRA,IDVR,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
DEXXOS PAR;DEXP3;IGCX
DEXXOS PAR;DEXP4;IGCX
DIAGEO PL;DEOP34;BDRX
DIMED;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
DIRECIONAL;DIRR3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBHB,IBOV,IBRA,IBSD,IBXX,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
DOLLAR GENER;DGCO34;BDRX
DOTZ SA;DOTZ3;IGCX,IGNM,ITAG
ECOPETROL SA;E1CO34;BDRX
ECORODOVIAS;ECOR3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ELETROBRAS;ELET3;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
ELETROBRAS;ELET6;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXX,IDVR,IGCT,IGCX,MLCX,UTIL
EMBRAER;EMBR3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX
ENERGISA;ENGI11;IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL
ENEVA;ENEV3;IBBC,IBBE,IBBR,IBEP,IBEW,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
ENGIE BRASIL;EGIE3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
ENJOEI;ENJU3;IGCX,IGNM,ITAG
EQUATORIAL;EQTL3;GPTW,IBBC,IBBE,IBBR,IBEP,IBEW,IBLV,IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL
EQUINIX INC;EQIX34;BDRX
EQUINOR ASA;E1QN34;BDRX
ESTAPAR;ALPK3;IGCX,IGNM,ITAG
ETERNIT;ETER3;IGCX,IGNM,ITAG
EUCATEX;EUCA3;IGCX
EUCATEX;EUCA4;IGCX
EVEN;EVEN3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
EXXON MOBIL;EXXO34;BDRX
EZTEC;EZTC3;IBRA,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
FER HERINGER;FHER3;IGCX,IGNM,ITAG
FERBASA;FESA3;IGCX
FERBASA;FESA4;IBRA,IDIV,IDVR,IGCT,IGCX,IMAT,SMLL
FII AFHI CRI;AFHI11;IFIL,IFIX
FII AJ MALLS;AJFI11;IFIX
FII ALIANZA;ALZR11;IFIL,IFIX
FII ARCTIUM;RZAT11;IFIX
FII ATHENA I;FATN11;IFIX
FII ATRIO;ARRI11;IFIX
FII AUTONOMY;AIEC11;IFIX
FII BARI VBI;BARI11;IFIX
FII BBIG;BBIG11;IFIL,IFIX
FII BC FUND;BRCR11;IFIL,IFIX
FII BCIA;BCIA11;IFIX
FII BEES CRI;BCRI11;IFIX
FII BLUE LOG;BLMG11;IFIX
FII BRESCO;BRCO11;IFIL,IFIX
FII BROF;BROF11;IFIX
FII BTG AGRO;BTAL11;IFIX
FII BTG CRI;BTCI11;IFIL,IFIX
FII BTG SHOP;BPML11;IFIX
FII BTHF;BTHF11;IFIL,IFIX
FII BTLG;BTLG11;IFIL,IFIX
FII CANUMA;CCME11;IFIX
FII CAPI SEC;CPTS11;IFIL,IFIX
FII CI IPCA;ICRI11;IFIX
FII CLAVE IN;CLIN11;IFIL,IFIX
FII CPSH;CPSH11;IFIL,IFIX
FII CVBI VBI;CVBI11;IFIL,IFIX
